model_type,accuracy,precision,recall,f1_score,roc_auc
knn,0.8243727598566308,0.8283966473446112,0.8119528975298207,0.8121513988510228,
random_forest,0.8924731182795699,0.9035087524340918,0.8877289377289377,0.8882694435012072,
svm,0.7634408602150538,0.7754784629516708,0.744949068025991,0.729575983955373,
logistic_regression,0.8207885304659498,0.8330996102280932,0.8119071099840329,0.8124255928051837,
